timestamp,accWrtEarthX,accWrtEarthY,accWrtEarthZ,lat,long,speed,accLiX,accLiY,accLiZ,accX,accY,accZ,magX,magY,magZ,anomalyStatus,
2022-04-15 10:25:41.338,0.07345308,0.19563138,-0.0247492,40.4394139,-86.9385992,15.583282,-0.13850856,-0.025929451,0.15627718,-2.3778675,9.15135,2.8755746,25.743752,-58.237503,9.168751,0,
2022-04-15 10:25:41.538,-0.04464849,0.3224377,-0.011877157,40.4394139,-86.9385992,15.583282,-0.06703925,-0.074863434,0.30984163,-2.129014,9.439087,2.6350958,25.743752,-58.18125,9.13125,0,
2022-04-15 10:25:41.738,-0.24101272,0.35042554,0.22828197,40.4393132,-86.9384725,15.015466,0.14764023,0.046645164,0.45719194,-2.7523441,9.147162,3.2799616,25.85625,-58.10625,8.925,0,
2022-04-15 10:25:41.937,-0.1875153,0.24976887,0.061138578,40.4393132,-86.9384725,15.015466,0.099615574,-0.08100414,0.2912035,-2.3114667,9.275179,3.4941192,25.85625,-57.99375,8.94375,0,
2022-04-15 10:25:42.137,0.05057253,0.32553917,-0.008878291,40.4393132,-86.9384725,15.015466,-0.16545558,-0.063355446,0.27788973,-2.6171498,8.688937,3.1393833,25.9125,-57.956253,8.887501,0,
2022-04-15 10:25:42.337,-0.25971767,-0.08318445,-0.19596769,40.4393132,-86.9384725,15.015466,0.2356255,-0.23090363,-0.06277251,-3.00718,8.662018,3.4462628,25.893751,-57.937504,8.8125,0,
2022-04-15 10:25:42.538,-0.2398754,0.124247134,0.111839116,40.4393132,-86.9384725,15.015466,0.2082963,-0.032711983,0.20255399,-2.0865414,8.792427,3.0035906,25.9125,-58.0125,8.887501,0,
2022-04-15 10:25:42.737,0.1271242,0.039789915,-0.035263192,40.4392158,-86.9383576,13.721193,-0.13725638,0.010197639,-0.006632328,-2.3772693,8.837293,3.2267213,26.025002,-57.956253,8.90625,0,
2022-04-15 10:25:42.937,-0.053303413,0.07025216,-0.08120974,40.4392158,-86.9383576,13.721193,-0.010022402,-0.110705376,0.044894457,-1.655235,8.653045,3.359523,26.00625,-58.0125,8.83125,0,
2022-04-15 10:25:43.137,0.090868436,0.12147975,0.06088411,40.4392158,-86.9383576,13.721193,-0.115736246,0.052718163,0.10269952,-2.9455647,8.949157,3.484548,26.025002,-58.068752,8.793751,0,
2022-04-15 10:25:43.337,-0.026192646,0.029411508,0.059068035,40.4392158,-86.9383576,13.721193,0.025881052,0.037890434,0.05417204,-2.8055844,8.885747,3.441477,26.1,-58.125004,8.775001,0,
2022-04-15 10:25:43.536,0.017929152,0.15256032,0.06203953,40.4392158,-86.9383576,13.721193,-0.05317521,0.027736664,0.15442824,-2.5908287,9.09811,3.385844,26.1375,-58.2,8.681251,0,
2022-04-15 10:25:43.736,0.079633206,0.23006648,0.029014643,40.4391265,-86.9382574,12.392546,-0.14960337,-0.0071868896,0.19411612,-2.6578279,8.781659,3.5988052,26.19375,-58.237503,8.681251,0,
2022-04-15 10:25:43.936,-0.06483973,0.21334855,0.07595885,40.4391265,-86.9382574,12.392546,0.018586397,-0.016823769,0.23422861,-1.7234305,9.130413,3.4863427,26.268751,-58.312504,8.775001,0,
2022-04-15 10:25:44.136,-0.058257006,0.06271402,0.043726444,40.4391265,-86.9382574,12.392546,0.03637743,0.0074739456,0.08865523,-3.0670004,8.799007,3.4163525,26.325,-58.312504,8.71875,0,
2022-04-15 10:25:44.336,-0.08177139,-0.06671408,-0.08237471,40.4391265,-86.9382574,12.392546,0.08832121,-0.0797987,-0.061273575,-3.2153554,8.838489,3.4977086,26.306252,-58.350002,8.625,0,
